listing_a,listing_b,category,comparable,confidence,reason
Tip Top The One White Toast Slice Bread Loaf Bakery 700g,White Bread,bread,,,
Tip Top The One White Toast Slice Bread Loaf Bakery 700g,White Bread + Vitamins & Minerals,bread,,,
Abbott's Bakery Rustic White Bread Sandwich Slice Loaf 700g,Rustic White Bread,bread,,,
Abbott's Bakery Rustic White Bread Sandwich Slice Loaf 700g,The One White Toast Bread,bread,,,
Abbott's Bakery Rustic White Bread Sandwich Slice Loaf 700g,High Fibre White Sandwich Bread,bread,,,
Abbott's Bakery Rustic White Bread Sandwich Slice Loaf 700g,The One Bread White Sliced,bread,,,
Abbott's Bakery Rustic White Bread Sandwich Slice Loaf 700g,High Fibre White Toast Bread,bread,,,
Abbott's Bakery Rustic White Bread Sandwich Slice Loaf 700g,White Bread,bread,,,
Abbott's Bakery Rustic White Bread Sandwich Slice Loaf 700g,White Bread + Vitamins & Minerals,bread,,,
Wonder White Bread Vitamins & Minerals Sandwich 700g,Rustic White Bread,bread,,,
Wonder White Bread Vitamins & Minerals Sandwich 700g,Bread + Vitamins Toast,bread,,,
Wonder White Bread Vitamins & Minerals Sandwich 700g,The One White Toast Bread,bread,,,
Wonder White Bread Vitamins & Minerals Sandwich 700g,High Fibre White Sandwich Bread,bread,,,
Wonder White Bread Vitamins & Minerals Sandwich 700g,The One Bread White Sliced,bread,,,
Wonder White Bread Vitamins & Minerals Sandwich 700g,High Fibre White Toast Bread,bread,,,
Wonder White Bread Vitamins & Minerals Sandwich 700g,White Bread,bread,,,
Wonder White Bread Vitamins & Minerals Sandwich 700g,White Bread + Vitamins & Minerals,bread,,,
Woolworths Wholemeal Sandwich Hi-Fibre Bread 700g,The One Wholemeal Sandwich Bread,bread,,,
Woolworths Wholemeal Sandwich Hi-Fibre Bread 700g,Bread Wholemeal Plus Iron,bread,,,
Woolworths Wholemeal Sandwich Hi-Fibre Bread 700g,Traditional Wholemeal Bread,bread,,,
Woolworths Wholemeal Sandwich Hi-Fibre Bread 700g,High Fibre Wholemeal Bread,bread,,,
Woolworths Wholemeal Sandwich Hi-Fibre Bread 700g,Farmhouse Wholemeal Bread,bread,,,
Buttercup Country Split White Bread 450g,Rustic White Bread,bread,,,
Buttercup Country Split White Bread 450g,The One White Toast Bread,bread,,,
Buttercup Country Split White Bread 450g,Country Grains Bread,bread,,,
Buttercup Country Split White Bread 450g,High Fibre White Sandwich Bread,bread,,,
